,terms,id_doc,freq
0,january,1,1
1,a,1,1
2,mutation,1,1
3,undercuts,1,1
4,immune,1,1
5,response,1,1
6,covid,1,1
7,virus,1,1
8,a,1,1
9,handful,1,1
10,mutations,1,1
11,help,1,1
12,escape,1,1
13,immune,1,1
14,response,1,1
15,mounted,1,1
16,subset,1,1
17,infected,1,1
18,people,1,1
19,researchers,1,1
20,identified,1,1
21,thousands,1,1
22,mutations,1,1
23,samples,1,1
24,vast,1,1
25,majority,1,1
26,unlikely,1,1
27,much,1,1
28,effect,1,1
29,virus,1,1
30,biology,1,1
31,to,1,1
32,identify,1,1
33,potentially,1,1
34,important,1,1
35,mutations,1,1
36,jesse,1,1
37,bloom,1,1
38,fred,1,1
39,hutchinson,1,1
40,cancer,1,1
41,research,1,1
42,center,1,1
43,seattle,1,1
44,washington,1,1
45,colleagues,1,1
46,studied,1,1
47,antibodies,1,1
48,isolated,1,1
49,blood,1,1
50,serum,1,1
51,people,1,1
52,recovered,1,1
53,greaney,1,1
54,et,1,1
55,al,1,1
56,preprint,1,1
57,biorxiv,1,1
58,https,1,1
59,the,1,1
60,team,1,1
61,tested,1,1
62,antibodies,1,1
63,response,1,1
64,samples,1,1
65,virus,1,1
66,spike,1,1
67,protein,1,1
68,each,1,1
69,sample,1,1
70,protein,1,1
71,carried,1,1
72,different,1,1
73,versions,1,1
74,region,1,1
75,called,1,1
76,receptor,1,1
77,binding,1,1
78,domain,1,1
79,rbd,1,1
80,recognizes,1,1
81,host,1,1
82,cells,1,1
83,major,1,1
84,target,1,1
85,antibodies,1,1
86,of,1,1
87,thousands,1,1
88,rbd,1,1
89,mutations,1,1
90,tested,1,1
91,reduced,1,1
92,antibodies,1,1
93,ability,1,1
94,bind,1,1
95,tightly,1,1
96,spike,1,1
97,protein,1,1
98,change,1,1
99,might,1,1
100,also,1,1
101,indicate,1,1
102,reduction,1,1
103,antibodies,1,1
104,ability,1,1
105,disable,1,1
106,virus,1,1
107,but,1,1
108,effects,1,1
109,varied,1,1
110,substantially,1,1
111,people,1,1
112,the,1,1
113,consequential,1,1
114,mutations,1,1
115,location,1,1
116,called,1,1
117,caused,1,1
118,steep,1,1
119,drop,1,1
120,potency,1,1
121,individuals,1,1
122,antibodies,1,1
123,coronavirus,1,1
124,variants,1,1
125,identified,1,1
126,south,1,1
127,africa,1,1
128,brazil,1,1
129,carry,1,1
130,mutation,1,1
131,spot,1,1
132,the,1,1
133,findings,1,1
134,yet,1,1
135,peer,1,1
136,reviewed,1,1
137,january,1,1
138,immune,1,1
139,cells,1,1
140,gone,1,1
141,wild,1,1
142,tied,1,1
143,covid,1,1
144,lung,1,1
145,damage,1,1
146,some,1,1
147,severe,1,1
148,respiratory,1,1
149,symptoms,1,1
150,seem,1,1
151,result,1,1
152,activity,1,1
153,specific,1,1
154,immune,1,1
155,cells,1,1
156,cause,1,1
157,inflammation,1,1
158,lungs,1,1
159,alexander,1,1
160,misharin,1,1
161,northwestern,1,1
162,university,1,1
163,evanston,1,1
164,illinois,1,1
165,colleagues,1,1
166,examined,1,1
167,fluid,1,1
168,lungs,1,1
169,people,1,1
170,severe,1,1
171,pneumonia,1,1
172,caused,1,1
173,infection,1,1
174,a,1,1
175,grant,1,1
176,et,1,1
177,al,1,1
178,nature,1,1
179,https,1,1
180,most,1,1
181,individuals,1,1
182,high,1,1
183,numbers,1,1
184,certain,1,1
185,type,1,1
186,t,1,1
187,cell,1,1
188,class,1,1
189,immune,1,1
190,cells,1,1
191,lungs,1,1
192,the,1,1
193,researchers,1,1
194,also,1,1
195,found,1,1
196,nearly,1,1
197,alveolar,1,1
198,macrophages,1,1
199,type,1,1
200,immune,1,1
201,cell,1,1
202,located,1,1
203,tiny,1,1
204,air,1,1
205,sacs,1,1
206,lungs,1,1
207,contained,1,1
208,the,1,1
209,cells,1,1
210,harbouring,1,1
211,virus,1,1
212,showed,1,1
213,relatively,1,1
214,high,1,1
215,expression,1,1
216,genes,1,1
217,involved,1,1
218,inflammation,1,1
219,the,1,1
220,findings,1,1
221,suggest,1,1
222,virus,1,1
223,reaches,1,1
224,lungs,1,1
225,infect,1,1
226,macrophages,1,1
227,respond,1,1
228,producing,1,1
229,inflammatory,1,1
230,molecules,1,1
231,attract,1,1
232,t,1,1
233,cells,1,1
234,t,1,1
235,cells,1,1
236,turn,1,1
237,produce,1,1
238,protein,1,1
239,stimulates,1,1
240,macrophages,1,1
241,make,1,1
242,inflammatory,1,1
243,molecules,1,1
244,this,1,1
245,persistent,1,1
246,lung,1,1
247,inflammation,1,1
248,could,1,1
249,lead,1,1
250,consequences,1,1
251,infection,1,1
252,january,1,1
253,traitorous,1,1
254,antibodies,1,1
255,linked,1,1
256,covid,1,1
257,death,1,1
258,antibodies,1,1
259,normally,1,1
260,attack,1,1
261,pathogens,1,1
262,sometimes,1,1
263,rogue,1,1
264,antibodies,1,1
265,instead,1,1
266,besiege,1,1
267,bodily,1,1
268,components,1,1
269,immune,1,1
270,cells,1,1
271,now,1,1
272,new,1,1
273,study,1,1
274,adds,1,1
275,growing,1,1
276,body,1,1
277,research,1,1
278,tying,1,1
279,autoantibodies,1,1
280,poor,1,1
281,outcomes,1,1
282,people,1,1
283,ana,1,1
284,rodriguez,1,1
285,david,1,1
286,lee,1,1
287,nyu,1,1
288,grossman,1,1
289,school,1,1
290,medicine,1,1
291,new,1,1
292,york,1,1
293,city,1,1
294,colleagues,1,1
295,studied,1,1
296,autoantibody,1,1
297,levels,1,1
298,blood,1,1
299,serum,1,1
300,collected,1,1
301,people,1,1
302,required,1,1
303,hospitalization,1,1
304,the,1,1
305,researchers,1,1
306,particularly,1,1
307,interested,1,1
308,autoantibodies,1,1
309,protein,1,1
310,annexin,1,1
311,helps,1,1
312,stabilize,1,1
313,structure,1,1
314,it,1,1
315,also,1,1
316,plays,1,1
317,part,1,1
318,ensuring,1,1
319,integrity,1,1
320,tiny,1,1
321,blood,1,1
322,vessels,1,1
323,lungs,1,1
324,blocking,1,1
325,annexin,1,1
326,leads,1,1
327,lung,1,1
328,injury,1,1
329,hallmark,1,1
330,the,1,1
331,scientists,1,1
332,found,1,1
333,level,1,1
334,antibodies,1,1
335,average,1,1
336,higher,1,1
337,individuals,1,1
338,eventually,1,1
339,died,1,1
340,survived,1,1
341,difference,1,1
342,statistically,1,1
343,significant,1,1
344,zuniga,1,1
345,et,1,1
346,al,1,1
347,preprint,1,1
348,medrxiv,1,1
349,https,1,1
350,more,1,1
351,research,1,1
352,necessary,1,1
353,establish,1,1
354,clear,1,1
355,causal,1,1
356,link,1,1
357,virus,1,1
358,autoantibodies,1,1
359,annexin,1,1
360,relatively,1,1
361,rare,1,1
362,the,1,1
363,findings,1,1
364,yet,1,1
365,peer,1,1
366,reviewed,1,1
367,january,1,1
368,quick,1,1
369,treatment,1,1
370,blood,1,1
371,cuts,1,1
372,risk,1,1
373,severe,1,1
374,covid,1,1
375,a,1,1
376,clinical,1,1
377,trial,1,1
378,older,1,1
379,adults,1,1
380,shows,1,1
381,early,1,1
382,dose,1,1
383,blood,1,1
384,plasma,1,1
385,recovered,1,1
386,people,1,1
387,helps,1,1
388,prevent,1,1
389,progression,1,1
390,severe,1,1
391,disease,1,1
392,the,1,1
393,plasma,1,1
394,people,1,1
395,recovered,1,1
396,contains,1,1
397,antibodies,1,1
398,but,1,1
399,treatment,1,1
400,plasma,1,1
401,mixed,1,1
402,results,1,1
403,scientists,1,1
404,suggested,1,1
405,plasma,1,1
406,needs,1,1
407,given,1,1
408,early,1,1
409,disease,1,1
410,course,1,1
411,effective,1,1
412,fernando,1,1
413,polack,1,1
414,fundación,1,1
415,infant,1,1
416,buenos,1,1
417,aires,1,1
418,colleagues,1,1
419,conducted,1,1
420,rigorous,1,1
421,clinical,1,1
422,trial,1,1
423,assess,1,1
424,effect,1,1
425,treatment,1,1
426,plasma,1,1
427,within,1,1
428,hours,1,1
429,symptom,1,1
430,onset,1,1
431,participants,1,1
432,included,1,1
433,people,1,1
434,age,1,1
435,least,1,1
436,one,1,1
437,condition,1,1
438,diabetes,1,1
439,libster,1,1
440,et,1,1
441,al,1,1
442,engl,1,1
443,med,1,1
444,https,1,1
445,severe,1,1
446,developed,1,1
447,study,1,1
448,participants,1,1
449,received,1,1
450,plasma,1,1
451,participants,1,1
452,placebo,1,1
453,group,1,1
454,the,1,1
455,team,1,1
456,found,1,1
457,donor,1,1
458,plasma,1,1
459,containing,1,1
460,higher,1,1
461,concentrations,1,1
462,antibodies,1,1
463,associated,1,1
464,greater,1,1
465,reduction,1,1
466,risk,1,1
467,developing,1,1
468,severe,1,1
469,disease,1,1
470,providing,1,1
471,evidence,1,1
472,antibodies,1,1
473,responsible,1,1
474,therapeutic,1,1
475,effect,1,1
476,january,1,1
477,evidence,1,1
478,grows,1,1
479,new,1,1
480,coronavirus,1,1
481,variant,1,1
482,swift,1,1
483,spread,1,1
484,two,1,1
485,independent,1,1
486,analyses,1,1
487,found,1,1
488,new,1,1
489,variant,1,1
490,overtaking,1,1
491,united,1,1
492,kingdom,1,1
493,indeed,1,1
494,transmissible,1,1
495,forms,1,1
496,virus,1,1
497,eric,1,1
498,volz,1,1
499,neil,1,1
500,ferguson,1,1
501,imperial,1,1
502,college,1,1
503,london,1,1
504,colleagues,1,1
505,examined,1,1
506,nearly,1,1
507,genomes,1,1
508,variant,1,1
509,labelled,1,1
510,variant,1,1
511,concern,1,1
512,the,1,1
513,genomes,1,1
514,collected,1,1
515,united,1,1
516,kingdom,1,1
517,october,1,1
518,early,1,1
519,december,1,1
520,the,1,1
521,team,1,1
522,also,1,1
523,analysed,1,1
524,results,1,1
525,roughly,1,1
526,uk,1,1
527,tests,1,1
528,administered,1,1
529,late,1,1
530,volz,1,1
531,et,1,1
532,al,1,1
533,preprint,1,1
534,medrxiv,1,1
535,https,1,1
536,estimating,1,1
537,variant,1,1
538,frequency,1,1
539,time,1,1
540,authors,1,1
541,concluded,1,1
542,roughly,1,1
543,transmissible,1,1
544,variants,1,1
545,the,1,1
546,authors,1,1
547,also,1,1
548,found,1,1
549,uk,1,1
550,lockdown,1,1
551,november,1,1
552,curbed,1,1
553,cases,1,1
554,caused,1,1
555,viral,1,1
556,variants,1,1
557,cases,1,1
558,linked,1,1
559,new,1,1
560,variant,1,1
561,rose,1,1
562,the,1,1
563,findings,1,1
564,yet,1,1
565,peer,1,1
566,reviewed,1,1
567,a,1,1
568,separate,1,1
569,team,1,1
570,also,1,1
571,used,1,1
572,genomic,1,1
573,data,1,1
574,analyse,1,1
575,variant,1,1
576,spread,1,1
577,last,1,1
578,months,1,1
579,nicholas,1,1
580,davies,1,1
581,colleagues,1,1
582,london,1,1
583,school,1,1
584,hygiene,1,1
585,tropical,1,1
586,medicine,1,1
587,estimated,1,1
588,new,1,1
589,variant,1,1
590,transmissible,1,1
591,variants,1,1
592,davies,1,1
593,et,1,1
594,al,1,1
595,preprint,1,1
596,medrxiv,1,1
597,https,1,1
598,the,1,1
599,authors,1,1
600,found,1,1
601,evidence,1,1
602,variant,1,1
603,concern,1,1
604,causes,1,1
605,severe,1,1
606,variants,1,1
607,the,1,1
608,findings,1,1
609,peer,1,1
610,review,1,1
611,january,1,1
612,a,1,1
613,covid,1,1
614,test,1,1
615,could,1,1
616,help,1,1
617,curb,1,1
618,outbreaks,1,1
619,rapid,1,1
620,tests,1,1
621,trade,1,1
622,away,1,1
623,degree,1,1
624,reliability,1,1
625,speed,1,1
626,could,1,1
627,prove,1,1
628,valuable,1,1
629,tool,1,1
630,communities,1,1
631,hit,1,1
632,hard,1,1
633,disease,1,1
634,in,1,1
635,one,1,1
636,week,1,1
637,diane,1,1
638,havlir,1,1
639,university,1,1
640,california,1,1
641,san,1,1
642,francisco,1,1
643,colleagues,1,1
644,tested,1,1
645,people,1,1
646,city,1,1
647,pilarowski,1,1
648,et,1,1
649,al,1,1
650,clin,1,1
651,inf,1,1
652,dis,1,1
653,https,1,1
654,all,1,1
655,study,1,1
656,volunteers,1,1
657,two,1,1
658,tests,1,1
659,pcr,1,1
660,test,1,1
661,typically,1,1
662,returns,1,1
663,results,1,1
664,two,1,1
665,four,1,1
666,days,1,1
667,united,1,1
668,states,1,1
669,rapid,1,1
670,test,1,1
671,detects,1,1
672,viral,1,1
673,proteins,1,1
674,called,1,1
675,antigens,1,1
676,returned,1,1
677,results,1,1
678,roughly,1,1
679,one,1,1
680,hour,1,1
681,the,1,1
682,rapid,1,1
683,test,1,1
684,binaxnow,1,1
685,made,1,1
686,abbott,1,1
687,laboratories,1,1
688,abbott,1,1
689,park,1,1
690,illinois,1,1
691,the,1,1
692,rapid,1,1
693,test,1,1
694,detected,1,1
695,people,1,1
696,tested,1,1
697,positive,1,1
698,pcr,1,1
699,detected,1,1
700,high,1,1
701,levels,1,1
702,virus,1,1
703,within,1,1
704,two,1,1
705,hours,1,1
706,positive,1,1
707,result,1,1
708,participants,1,1
709,received,1,1
710,phone,1,1
711,call,1,1
712,advising,1,1
713,isolate,1,1
714,this,1,1
715,swift,1,1
716,response,1,1
717,meant,1,1
718,people,1,1
719,less,1,1
720,likely,1,1
721,spread,1,1
722,infection,1,1
723,might,1,1
724,waited,1,1
725,pcr,1,1
726,result,1,1
727,approximately,1,1
728,positive,1,1
729,rapid,1,1
730,antigen,1,1
731,tests,1,1
732,confirmed,1,1
733,pcr,1,1
734,meaning,1,1
735,wrong,1,1
736,study,1,1
737,author,1,1
738,havlir,1,1
739,disclosed,1,1
740,receives,1,1
741,support,1,1
742,abbott,1,1
743,related,1,1
744,paper,1,1
745,january,1,1
746,a,1,1
747,vaccine,1,1
748,works,1,1
749,quickly,1,1
750,ward,1,1
751,an,1,1
752,vaccine,1,1
753,recently,1,1
754,approved,1,1
755,us,1,1
756,regulators,1,1
757,provide,1,1
758,protection,1,1
759,within,1,1
760,two,1,1
761,weeks,1,1
762,first,1,1
763,dose,1,1
764,according,1,1
765,results,1,1
766,large,1,1
767,clinical,1,1
768,trial,1,1
769,on,1,1
770,december,1,1
771,us,1,1
772,food,1,1
773,drug,1,1
774,administration,1,1
775,granted,1,1
776,authorization,1,1
777,vaccine,1,1
778,made,1,1
779,moderna,1,1
780,cambridge,1,1
781,massachusetts,1,1
782,shortly,1,1
783,thereafter,1,1
