,1.txt,10.txt,2.txt,3.txt,4.txt,5.txt,6.txt,7.txt,8.txt,9.txt
january,14,0,1,0,0,0,0,0,0,0
a,80,1,14,3,6,3,1,0,0,12
mutation,43,0,0,0,0,0,0,0,0,0
undercut,1,0,0,0,0,0,0,0,0,0
immune,103,4,0,1,16,0,0,2,0,0
response,59,5,0,1,14,1,0,0,3,2
covid,20,1,0,0,0,0,0,0,2,0
virus,215,12,1,1,8,1,1,0,0,0
handful,2,0,0,0,0,0,0,0,0,0
help,32,0,1,1,0,1,0,0,0,0
escape,8,1,0,0,0,0,0,0,0,0
mounted,4,0,0,0,0,0,0,0,0,0
subset,2,0,0,0,0,0,0,0,0,0
infected,163,3,4,0,3,1,0,0,0,0
people,311,2,0,0,0,0,5,0,3,0
researcher,95,0,0,0,0,1,0,0,0,1
identified,18,0,3,1,3,0,0,0,0,0
thousand,6,0,0,0,0,0,0,0,0,0
sample,59,0,7,0,2,3,0,0,0,9
vast,1,0,0,0,0,0,0,0,0,0
majority,2,0,0,0,0,2,0,1,0,0
unlikely,4,0,0,0,1,0,0,0,0,0
much,12,2,0,0,0,0,0,0,1,0
effect,22,3,5,1,7,11,0,0,1,1
biology,4,0,0,0,0,0,0,0,0,0
to,23,0,0,1,2,3,0,0,0,3
identify,8,0,0,0,0,0,0,0,0,1
potentially,4,1,1,0,0,0,0,0,1,1
important,10,2,1,0,1,1,0,0,0,2
jesse,4,0,0,0,0,0,0,0,0,0
bloom,4,0,0,0,0,0,0,0,0,0
fred,4,0,0,0,0,0,0,0,0,0
hutchinson,4,0,0,0,0,0,0,0,0,0
cancer,4,0,0,1,0,0,0,0,0,0
research,24,0,0,3,2,5,0,0,0,9
center,18,0,1,1,2,6,6,0,0,0
seattle,10,0,0,0,0,0,0,0,0,0
washington,16,0,0,0,0,0,0,0,0,0
colleague,149,0,0,0,0,0,0,0,0,1
studied,22,0,0,0,1,0,0,0,1,0
antibody,226,4,15,2,36,8,0,1,0,43
isolated,9,0,0,0,0,0,0,0,0,0
blood,42,0,2,1,0,0,0,0,0,8
serum,4,0,5,0,43,0,0,1,0,3
recovered,19,0,1,0,0,1,0,0,0,2
greaney,2,0,0,0,0,0,0,0,0,0
et,167,0,0,0,0,0,0,0,0,0
al,167,0,0,0,0,0,0,0,0,0
preprint,75,0,0,0,0,0,0,0,0,0
biorxiv,27,0,0,0,0,0,0,0,0,0
http,167,0,0,0,0,0,0,0,0,0
the,346,19,21,39,34,30,5,4,8,84
team,107,0,1,0,1,0,0,0,0,1
tested,73,0,1,1,6,1,0,0,0,4
spike,46,0,3,0,4,1,0,0,0,2
protein,101,0,1,0,5,1,0,0,0,3
each,2,0,1,1,1,1,0,0,0,0
carried,4,0,0,0,0,0,0,2,0,0
different,8,6,1,4,0,0,0,3,2,2
version,15,0,0,1,3,1,0,0,0,2
region,8,0,2,1,0,0,0,2,2,0
called,47,0,0,0,0,0,0,0,0,0
receptor,9,1,0,2,0,1,0,0,0,1
binding,9,0,0,0,0,1,0,0,0,1
domain,5,0,0,0,3,2,0,0,0,1
rbd,2,0,0,0,0,0,0,0,0,2
recognizes,4,1,0,0,0,0,0,0,0,0
host,18,2,0,0,0,0,0,1,0,0
cell,126,1,1,0,1,2,0,0,0,5
major,2,1,0,0,1,1,0,0,0,3
target,7,1,2,0,4,2,0,0,0,4
of,8,0,0,0,2,2,0,0,0,4
reduced,6,1,4,1,1,1,0,0,2,0
ability,10,0,0,0,0,0,0,0,0,0
bind,11,1,0,0,0,1,0,0,0,0
tightly,2,0,0,0,0,0,0,0,0,0
change,7,5,0,0,8,12,1,0,0,10
might,50,2,0,0,0,0,0,7,3,7
also,52,2,3,3,5,4,2,2,4,12
indicate,4,0,0,0,1,1,0,0,0,5
reduction,4,1,4,1,4,2,0,0,0,1
disable,6,0,0,0,0,0,0,0,0,0
but,43,0,0,0,0,0,0,0,3,0
